Id	Price	Age_08_04	KM	cc	Doors	Weight
1	13500	23	46986	2000	3	1165
2	13750	23	72937	2000	3	1165
3	13950	24	41711	2000	3	1165
4	14950	26	48000	2000	3	1165
5	13750	30	38500	2000	3	1170
6	12950	32	61000	2000	3	1170
7	16900	27	94612	2000	3	1245
8	18600	30	75889	2000	3	1245
9	21500	27	19700	1800	3	1185
10	12950	23	71138	1900	3	1105
11	20950	25	31461	1800	3	1185
12	19950	22	43610	1800	3	1185
13	19600	25	32189	1800	3	1185
14	21500	31	23000	1800	3	1185
15	22500	32	34131	1800	3	1185
16	22000	28	18739	1800	3	1185
17	22750	30	34000	1800	3	1185
18	17950	24	21716	1600	3	1105
19	16750	24	25563	1600	3	1065
20	16950	30	64359	1600	3	1105
21	15950	30	67660	1600	3	1105
22	16950	29	43905	1600	3	1170
23	15950	28	56349	1600	3	1120
24	16950	28	32220	1600	3	1120
25	16250	29	25813	1600	3	1120
26	15950	25	28450	1600	3	1120
27	17495	27	34545	1600	3	1120
28	15750	29	41415	1600	3	1120
29	16950	28	44142	1600	3	1120
30	17950	30	11090	1600	3	1120
31	12950	29	9750	1400	3	1100
32	15750	22	35199	1400	3	1100
33	15950	27	29510	1400	3	1100
34	14950	26	32692	1400	3	1100
35	15500	22	41000	1400	3	1100
36	15750	26	43000	1400	3	1100
37	15950	25	25000	1400	3	1100
38	14950	23	10000	1400	3	1100
39	15750	32	25329	1400	3	1100
40	14750	27	27500	1400	3	1100
41	13950	22	49059	1400	3	1100
42	16750	27	44068	1400	3	1100
43	13950	22	46961	1400	3	1100
44	16950	27	110404	2000	5	1255
45	16950	22	100250	2000	5	1255
46	19000	23	84000	2000	5	1270
47	17950	27	79375	2000	5	1255
48	15800	22	75048	1400	5	1110
49	17950	22	72215	2000	5	1255
50	21950	31	64982	1800	5	1195
51	17950	22	62636	2000	5	1255
52	15750	30	57086	1400	5	1110
53	20500	26	56000	1600	5	1180
54	21950	27	49866	1800	5	1195
55	15500	25	49163	1600	5	1165
56	13250	32	45725	1600	5	1075
57	15250	28	43210	1400	5	1110
58	15250	26	43000	1400	5	1110
59	18950	23	39704	1600	5	1180
60	15999	30	38950	1600	5	1130
61	14950	22	37400	1400	5	1110
62	16500	27	37177	1600	5	1130
63	18750	31	36544	1600	5	1130
64	17950	30	33511	1600	5	1130
65	17950	27	32809	1400	5	1110
66	16950	26	32181	1600	5	1075
67	18950	28	30993	1600	5	1130
68	14950	22	30400	1400	5	1110
69	22250	22	30000	2000	5	1275
70	15950	25	29719	1400	5	1110
71	15950	28	29206	1400	5	1110
72	12995	32	29198	1400	5	1060
73	18950	28	28817	1598	5	1130
74	15750	23	28227	1400	5	1110
75	19950	28	28000	1600	5	1130
76	16950	23	28000	1600	5	1115
77	18750	31	25266	1600	5	1130
78	18450	27	23489	1600	5	1115
79	16895	29	22575	1600	5	1115
80	14900	30	22000	1400	5	1110
81	18950	25	20019	16000	5	1180
82	17250	29	20000	1600	5	1115
83	15450	25	17003	1400	5	1110
84	17950	31	16238	1600	5	1180
85	16650	25	15414	1400	5	1110
86	17450	28	8537	1600	5	1130
87	14900	30	7000	1400	5	1100
88	17950	20	66966	2000	3	1245
89	15950	19	51884	1400	3	1100
90	21950	19	50005	2000	3	1265
91	16450	20	48110	1400	3	1100
92	22250	20	37500	2000	3	1260
93	19950	16	34472	1995	3	1260
94	15950	20	33329	1400	3	1100
95	18900	20	31850	1600	3	1120
96	19950	17	30351	1995	3	1260
97	15950	19	29435	1400	3	1100
98	15950	19	25948	1400	3	1100
99	18750	11	24500	1600	3	1120
100	17450	18	23902	1400	3	1100
101	18990	20	23175	1600	3	1120
102	16250	19	19200	1400	3	1100
103	18500	13	18000	1400	3	1125
104	18500	11	16123	1600	3	1105
105	19450	11	14635	1600	3	1155
106	16950	19	13748	1400	3	1100
107	18800	14	11500	1600	3	1045
108	17450	17	10000	1400	3	1100
109	17950	20	7187	1600	3	1105
111	32500	4	1	2000	5	1480
112	31000	4	4000	2000	5	1480
113	31275	4	1500	2000	5	1480
114	24950	8	13253	2000	5	1320
115	24950	8	13253	2000	5	1320
116	22950	7	10000	2000	5	1270
117	24990	8	6000	2000	5	1280
118	21950	8	10841	2000	5	1270
119	17900	7	1	1600	3	1105
120	19250	20	63000	2000	5	1255
121	22250	17	57313	2000	5	1275
122	18950	13	57037	1600	5	1115
123	19950	19	51099	2000	5	1255
124	16350	14	40010	1600	5	1115
125	18950	20	39115	1600	5	1130
126	16950	17	36012	1600	5	1130
127	21750	16	36000	1600	5	1130
128	15950	20	36000	1600	5	1075
129	16500	20	35000	1400	5	1110
130	17950	17	33740	1400	5	1135
131	15850	13	33477	1600	5	1075
132	16250	20	32627	1400	5	1110
133	15950	20	29797	1400	5	1110
134	16250	19	29441	1400	5	1110
135	15950	13	29371	1600	4	1105
136	16500	20	29000	1400	5	1110
137	16500	19	27821	1400	5	1110
138	18450	19	27371	1400	5	1135
139	16250	13	25170	1600	5	1105
140	23000	11	25000	2000	5	1320
141	19900	20	23000	1600	5	1130
142	16450	20	22588	1400	5	1110
143	23950	19	21684	1800	5	1185
144	19950	13	21428	1600	5	1130
145	18500	16	20629	1600	4	1090
146	18950	15	20270	1600	5	1130
147	16450	16	20105	1400	5	1110
148	20500	20	20000	1600	5	1165
149	24500	13	19988	1600	5	1130
150	19450	19	18328	1600	5	1130
151	20950	14	17896	1600	4	1150
152	17200	20	17300	1400	5	1110
153	19950	19	17038	1600	5	1130
154	18450	10	13747	1400	5	1110
155	19500	12	13634	1600	5	1115
156	21750	13	13178	1600	5	1130
157	16868	15	13157	1400	4	1085
158	19500	16	13000	1600	4	1105
159	18900	11	12500	1600	5	1115
160	19750	17	11999	1600	5	1130
161	19750	16	11754	1600	5	1180
162	18950	16	11000	1600	4	1105
163	20750	17	10000	1598	5	1105
164	19600	9	7650	1600	5	1115
165	19500	14	6500	1600	4	1100
166	17650	11	6155	1400	5	1110
167	19950	14	6000	1600	5	1130
168	19950	14	5459	1600	5	1130
169	20950	14	5278	1600	4	1150
170	20500	12	5000	1600	5	1130
171	17795	9	1	1400	4	1065
172	18245	9	1	1600	5	1075
173	23750	8	11000	1600	5	1130
174	19500	8	10077	1400	5	1110
175	18950	8	10000	1400	5	1110
176	21950	8	9788	1600	5	1130
177	19950	8	8574	1600	5	1130
178	18950	8	7000	1600	5	1115
179	19950	7	6250	1600	5	1115
180	21950	8	5000	1600	5	1130
181	22500	6	3000	1600	5	1130
182	18500	7	2000	1600	5	1075
183	18700	7	450	1400	5	1110
184	21125	2	225	1400	5	1110
185	21500	2	15	1600	5	1130
186	17795	1	1	1400	4	1100
187	18245	1	1	1600	5	1075
188	6950	43	243000	1900	3	1110
189	9500	38	180638	2000	4	1160
190	11950	40	179860	2000	5	1205
191	7750	43	178858	1600	3	1084
192	11950	40	161000	1900	3	1105
193	4350	44	158320	1800	5	1110
194	4750	44	131273	1800	5	1110
195	11750	40	130062	1900	5	1140
196	13250	41	123425	1900	5	1140
197	11950	37	118217	1600	5	1075
198	11900	44	110000	1900	5	1095
199	14750	39	108847	2000	5	1205
200	9950	42	105699	1400	3	1025
201	11950	39	98823	1600	5	1119
202	11495	44	96829	1600	5	1075
203	11250	40	96518	1400	3	1025
204	10500	42	92204	1600	5	1075
205	10450	35	91456	1900	3	1110
206	12950	43	89968	1900	5	1140
207	11500	44	89757	1600	3	1045
208	12500	40	85389	1600	5	1075
209	10950	43	85017	1400	5	1060
210	11450	41	84312	1600	5	1080
211	11950	37	82743	1600	5	1121
212	13250	41	81106	1900	5	1140
213	14750	40	80425	2000	5	1205
214	11790	34	78677	1600	5	1105
215	11450	40	78425	1600	5	1075
216	13500	33	78108	2000	3	1170
217	10950	33	77321	1600	5	1075
218	13500	33	75699	1900	3	1105
219	10950	41	75697	1400	3	1025
220	10950	44	74846	1400	3	1025
221	12950	38	74319	1600	5	1075
222	11950	43	74285	1600	5	1075
223	12450	44	74172	1600	5	1615
224	11950	40	73042	1598	5	1075
225	14950	44	71793	1600	4	1067
226	12450	35	71200	1600	5	1075
227	12950	38	67805	1600	5	1075
228	11950	35	65988	1600	3	1040
229	11690	34	65345	1400	5	1060
230	12450	42	64564	1600	5	1080
231	12750	36	63459	1400	5	1060
232	11925	44	63451	1400	3	1025
233	12950	33	62000	1600	5	1075
234	11950	42	61300	1400	3	1030
235	12900	41	61200	1600	3	1045
236	11900	41	61000	1600	5	1075
237	11650	38	60829	1600	5	1075
238	10950	44	60500	1600	5	1075
239	13950	35	59500	1900	3	1110
240	13950	44	59000	1600	5	1110
241	11950	40	58954	1600	5	1080
242	10950	38	58798	1600	5	1075
243	12450	38	58363	1600	3	1055
244	11950	43	58277	1600	3	1045
245	13500	33	57711	2000	3	1165
246	11690	33	57269	1600	5	1075
247	13500	39	56001	1600	5	1075
248	11950	42	55968	1600	3	1050
249	12900	39	55678	1600	4	1030
250	13500	43	55539	1600	5	1085
251	11750	42	55400	1600	5	1075
252	11750	33	55350	1600	5	1075
253	10850	43	54600	1600	4	1030
254	11750	43	53773	1600	5	1075
255	14950	42	53719	1600	5	1105
256	9940	39	53644	1600	5	1075
257	12900	42	53350	1600	5	1075
258	13500	38	53000	1600	5	1075
259	11750	44	52084	1400	3	1025
260	11950	44	52000	1400	3	1025
261	13450	33	51945	1600	5	1075
262	11950	41	51732	1400	3	1025
263	12495	39	50873	1600	5	1075
264	13500	41	50856	1600	4	1030
265	12750	40	50640	1600	5	1075
266	12000	39	50000	1400	5	1060
267	11950	38	49500	1600	5	1075
268	12495	44	49332	1600	5	1080
269	12450	34	49291	1600	3	1040
270	14750	40	48952	2000	5	1205
271	10950	39	48945	1600	3	1040
272	13500	33	48928	1900	3	1105
273	12950	38	48197	1600	5	1075
274	13500	35	48052	1900	3	1105
275	13450	34	48011	1600	4	1030
276	13500	43	48000	1600	5	1075
277	11480	41	47350	1600	5	1075
278	13450	39	46821	1400	5	1060
279	11495	39	46694	1600	3	1040
280	12750	43	46515	1400	5	1025
281	14990	38	46327	1600	3	1055
282	12950	35	46304	1400	5	1060
283	12950	40	45886	1600	5	1080
284	12850	39	45713	1400	5	1085
285	13950	40	45600	1600	5	1105
286	11950	41	45287	1600	5	1075
287	12950	39	45081	1600	5	1075
288	11700	40	44830	1600	5	1075
289	9950	37	44757	1400	3	1025
290	11895	44	44218	1400	5	1060
291	12950	43	43632	1600	5	1075
292	12500	36	43427	1600	3	1040
293	13875	39	43254	1600	5	1075
294	10500	35	43000	1600	3	1050
295	12295	33	42823	1600	5	1075
296	13950	42	42560	1600	5	1080
297	10950	38	41754	1600	3	1040
298	12950	44	41499	1600	5	1103
299	12850	40	41339	1600	5	1080
300	13995	35	41000	1600	5	1075
301	13750	39	40000	1600	3	1055
302	12750	37	39757	1600	5	1075
303	12500	41	39659	1600	3	1045
304	13950	43	39650	1600	3	1055
305	11500	39	39524	1398	3	1025
306	13950	44	39516	1400	5	1060
307	11895	41	39439	1400	5	1060
308	9950	44	39000	1400	3	1025
309	13500	42	38932	1600	3	1040
310	11450	37	38812	1400	3	1025
311	12450	42	38665	1600	5	1075
312	12950	40	38653	1600	5	1080
313	13995	44	38461	1600	5	1080
314	11750	42	38078	1400	3	1025
315	11650	39	37782	1400	5	1060
316	9950	43	37576	1400	3	1030
317	13950	41	37533	1600	5	1075
318	12950	44	37389	1600	5	1080
319	10950	38	37320	1400	3	1025
320	9900	42	37000	1400	3	1025
321	11950	44	37000	1600	4	1075
322	11990	40	36566	1600	5	1090
323	10750	36	36269	1600	5	1075
324	13950	37	36074	1600	5	1075
325	11250	44	36066	1600	3	1040
326	12950	39	34599	1600	5	1075
327	11950	41	34000	1600	5	1075
328	10950	42	33623	1400	3	1025
329	12950	33	33591	1600	5	1075
330	12950	35	33258	1600	5	1075
331	11695	43	33113	1600	5	1075
332	11000	41	33000	1600	5	1075
333	13950	35	32941	1600	5	1080
334	11950	38	32781	1600	5	1075
335	11750	40	32532	1600	3	1040
336	12400	34	32431	1400	5	1060
337	12500	35	32000	1600	3	1040
339	12900	33	31000	1600	5	1075
340	12200	41	30989	1600	3	1045
341	12750	43	30742	1600	3	1040
342	11950	42	30190	1600	5	1075
343	11900	41	29716	1600	5	1075
344	11950	44	29716	1600	3	1070
345	14950	42	29640	1600	3	1055
346	11950	41	29056	1400	5	1060
347	12950	33	28715	1600	5	1075
348	14950	41	28571	1600	5	1090
349	13450	40	28362	1600	3	1040
350	13750	38	28150	1600	5	1075
351	12950	43	27301	1600	3	1040
352	12750	33	27240	1600	5	1075
353	11895	39	27170	1400	5	1060
354	9950	42	27141	1400	5	1060
355	12450	38	26262	1600	5	1075
356	12500	38	26000	1400	5	1060
357	14950	43	25228	1600	3	1045
358	13750	39	25062	1600	5	1080
359	12695	39	24723	1600	4	1060
360	14990	33	24650	1600	3	1055
361	12750	43	24553	1600	5	1080
362	14350	41	24475	1600	5	1030
363	12950	39	24444	1600	3	1040
364	11500	35	24011	1400	3	1025
365	11950	41	24000	1400	3	1025
366	13450	40	23616	1600	5	1075
367	12900	38	22865	1600	5	1075
368	10500	41	22780	1300	5	1035
369	10950	35	21904	1400	3	1025
370	11950	41	21651	1400	3	1025
371	11450	37	21500	1600	5	1030
372	13250	44	21027	1600	5	1080
373	10250	39	18500	1600	4	1030
374	13995	35	18000	1600	5	1075
375	11950	40	17051	1400	5	1060
376	13250	33	16512	1400	5	1085
377	12950	40	16325	1600	5	1080
378	11750	38	16000	1400	5	1060
379	11500	39	12000	1600	5	1075
380	13500	43	10000	1400	5	1060
381	6500	53	216000	1900	3	1110
382	6400	51	198167	1900	4	1095
